[2023-07-02][INFO]Mi nivel es 
[2023-07-02][INFO]ME DIERON PREGUNTA FACIL
[2023-07-02][INFO]Mi nivel es 100
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 100
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 100
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 100
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 100
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 100
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 85.714285714286
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 87.5
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 88.888888888889
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 90
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 90.909090909091
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 83.333333333333
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 84.615384615385
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 78.571428571429
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 80
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 81.25
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 82.352941176471
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 83.333333333333
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 84.210526315789
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 85
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 80.952380952381
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 81.818181818182
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 82.608695652174
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 83.333333333333
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 84
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 84.615384615385
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 85.185185185185
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 85.714285714286
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 82.758620689655
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 83.333333333333
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 80.645161290323
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 78.125
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 75.757575757576
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 73.529411764706
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 75
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 75
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 72.972972972973
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 73.684210526316
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 74.358974358974
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 72.5
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 70.731707317073
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 71.428571428571
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 72.093023255814
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 70.454545454545
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 68.888888888889
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 67.391304347826
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 68.085106382979
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 66.666666666667
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 67.34693877551
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 68
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 68.627450980392
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 69.230769230769
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 69.811320754717
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 70.37037037037
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 
[2023-07-02][INFO]ME DIERON PREGUNTA FACIL
[2023-07-02][INFO]Mi nivel es 100
[2023-07-02][INFO]ME DIERON PREGUNTA DIFICIL
[2023-07-02][INFO]Mi nivel es 50
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 33.333333333333
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 50
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 60
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 50
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 57.142857142857
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 50
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 44.444444444444
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 40
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 36.363636363636
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 41.666666666667
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 46.153846153846
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 50
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 53.333333333333
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 50
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 47.058823529412
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 50
[2023-07-02][INFO]ME DIERON PREGUNTA MEDIA
[2023-07-02][INFO]Mi nivel es 47.368421052632
